date,country,country_code,cu_rate_pct,series,frequency,source
2010-01-01,United States,USA,70.7532,TCU,M,Federal Reserve via FRED
2010-02-01,United States,USA,71.1612,TCU,M,Federal Reserve via FRED
2010-03-01,United States,USA,71.7964,TCU,M,Federal Reserve via FRED
2010-04-01,United States,USA,72.1905,TCU,M,Federal Reserve via FRED
2010-05-01,United States,USA,73.3146,TCU,M,Federal Reserve via FRED
2010-06-01,United States,USA,73.5918,TCU,M,Federal Reserve via FRED
2010-07-01,United States,USA,74.0009,TCU,M,Federal Reserve via FRED
2010-08-01,United States,USA,74.3883,TCU,M,Federal Reserve via FRED
2010-09-01,United States,USA,74.7076,TCU,M,Federal Reserve via FRED
2010-10-01,United States,USA,74.58,TCU,M,Federal Reserve via FRED
2010-11-01,United States,USA,74.7131,TCU,M,Federal Reserve via FRED
2010-12-01,United States,USA,75.4968,TCU,M,Federal Reserve via FRED
2011-01-01,United States,USA,75.3741,TCU,M,Federal Reserve via FRED
2011-02-01,United States,USA,75.0928,TCU,M,Federal Reserve via FRED
2011-03-01,United States,USA,75.8747,TCU,M,Federal Reserve via FRED
2011-04-01,United States,USA,75.6127,TCU,M,Federal Reserve via FRED
2011-05-01,United States,USA,75.6684,TCU,M,Federal Reserve via FRED
2011-06-01,United States,USA,75.8425,TCU,M,Federal Reserve via FRED
2011-07-01,United States,USA,76.1431,TCU,M,Federal Reserve via FRED
2011-08-01,United States,USA,76.5667,TCU,M,Federal Reserve via FRED
2011-09-01,United States,USA,76.3992,TCU,M,Federal Reserve via FRED
2011-10-01,United States,USA,76.8123,TCU,M,Federal Reserve via FRED
2011-11-01,United States,USA,76.6783,TCU,M,Federal Reserve via FRED
2011-12-01,United States,USA,76.9495,TCU,M,Federal Reserve via FRED
2012-01-01,United States,USA,77.2652,TCU,M,Federal Reserve via FRED
2012-02-01,United States,USA,77.3673,TCU,M,Federal Reserve via FRED
2012-03-01,United States,USA,76.8194,TCU,M,Federal Reserve via FRED
2012-04-01,United States,USA,77.2234,TCU,M,Federal Reserve via FRED
2012-05-01,United States,USA,77.2546,TCU,M,Federal Reserve via FRED
2012-06-01,United States,USA,77.1149,TCU,M,Federal Reserve via FRED
2012-07-01,United States,USA,77.1372,TCU,M,Federal Reserve via FRED
2012-08-01,United States,USA,76.672,TCU,M,Federal Reserve via FRED
2012-09-01,United States,USA,76.4846,TCU,M,Federal Reserve via FRED
2012-10-01,United States,USA,76.6227,TCU,M,Federal Reserve via FRED
2012-11-01,United States,USA,76.78,TCU,M,Federal Reserve via FRED
2012-12-01,United States,USA,76.8435,TCU,M,Federal Reserve via FRED
2013-01-01,United States,USA,76.7502,TCU,M,Federal Reserve via FRED
2013-02-01,United States,USA,77.0029,TCU,M,Federal Reserve via FRED
2013-03-01,United States,USA,77.2135,TCU,M,Federal Reserve via FRED
2013-04-01,United States,USA,77.0553,TCU,M,Federal Reserve via FRED
2013-05-01,United States,USA,77.0307,TCU,M,Federal Reserve via FRED
2013-06-01,United States,USA,77.1119,TCU,M,Federal Reserve via FRED
2013-07-01,United States,USA,76.8008,TCU,M,Federal Reserve via FRED
2013-08-01,United States,USA,77.1772,TCU,M,Federal Reserve via FRED
2013-09-01,United States,USA,77.5046,TCU,M,Federal Reserve via FRED
2013-10-01,United States,USA,77.3802,TCU,M,Federal Reserve via FRED
2013-11-01,United States,USA,77.4988,TCU,M,Federal Reserve via FRED
2013-12-01,United States,USA,77.5927,TCU,M,Federal Reserve via FRED
2014-01-01,United States,USA,77.254,TCU,M,Federal Reserve via FRED
2014-02-01,United States,USA,77.7747,TCU,M,Federal Reserve via FRED
2014-03-01,United States,USA,78.4628,TCU,M,Federal Reserve via FRED
2014-04-01,United States,USA,78.4705,TCU,M,Federal Reserve via FRED
2014-05-01,United States,USA,78.6999,TCU,M,Federal Reserve via FRED
2014-06-01,United States,USA,78.8952,TCU,M,Federal Reserve via FRED
2014-07-01,United States,USA,78.9933,TCU,M,Federal Reserve via FRED
2014-08-01,United States,USA,78.7669,TCU,M,Federal Reserve via FRED
2014-09-01,United States,USA,78.9218,TCU,M,Federal Reserve via FRED
2014-10-01,United States,USA,78.8663,TCU,M,Federal Reserve via FRED
2014-11-01,United States,USA,79.2962,TCU,M,Federal Reserve via FRED
2014-12-01,United States,USA,79.2419,TCU,M,Federal Reserve via FRED
2015-01-01,United States,USA,78.5803,TCU,M,Federal Reserve via FRED
2015-02-01,United States,USA,78.055,TCU,M,Federal Reserve via FRED
2015-03-01,United States,USA,77.7804,TCU,M,Federal Reserve via FRED
2015-04-01,United States,USA,77.3487,TCU,M,Federal Reserve via FRED
2015-05-01,United States,USA,77.0092,TCU,M,Federal Reserve via FRED
2015-06-01,United States,USA,76.7774,TCU,M,Federal Reserve via FRED
2015-07-01,United States,USA,77.2924,TCU,M,Federal Reserve via FRED
2015-08-01,United States,USA,77.1715,TCU,M,Federal Reserve via FRED
2015-09-01,United States,USA,76.9791,TCU,M,Federal Reserve via FRED
2015-10-01,United States,USA,76.6282,TCU,M,Federal Reserve via FRED
2015-11-01,United States,USA,76.0819,TCU,M,Federal Reserve via FRED
2015-12-01,United States,USA,75.7214,TCU,M,Federal Reserve via FRED
2016-01-01,United States,USA,76.1248,TCU,M,Federal Reserve via FRED
2016-02-01,United States,USA,75.7291,TCU,M,Federal Reserve via FRED
2016-03-01,United States,USA,75.1587,TCU,M,Federal Reserve via FRED
2016-04-01,United States,USA,75.3969,TCU,M,Federal Reserve via FRED
2016-05-01,United States,USA,75.2034,TCU,M,Federal Reserve via FRED
2016-06-01,United States,USA,75.5298,TCU,M,Federal Reserve via FRED
2016-07-01,United States,USA,75.5839,TCU,M,Federal Reserve via FRED
2016-08-01,United States,USA,75.432,TCU,M,Federal Reserve via FRED
2016-09-01,United States,USA,75.3145,TCU,M,Federal Reserve via FRED
2016-10-01,United States,USA,75.2918,TCU,M,Federal Reserve via FRED
2016-11-01,United States,USA,74.9498,TCU,M,Federal Reserve via FRED
2016-12-01,United States,USA,75.4424,TCU,M,Federal Reserve via FRED
2017-01-01,United States,USA,75.2339,TCU,M,Federal Reserve via FRED
2017-02-01,United States,USA,74.9346,TCU,M,Federal Reserve via FRED
2017-03-01,United States,USA,75.4439,TCU,M,Federal Reserve via FRED
2017-04-01,United States,USA,76.2392,TCU,M,Federal Reserve via FRED
2017-05-01,United States,USA,76.368,TCU,M,Federal Reserve via FRED
2017-06-01,United States,USA,76.5758,TCU,M,Federal Reserve via FRED
2017-07-01,United States,USA,76.4534,TCU,M,Federal Reserve via FRED
2017-08-01,United States,USA,76.2067,TCU,M,Federal Reserve via FRED
2017-09-01,United States,USA,76.3591,TCU,M,Federal Reserve via FRED
2017-10-01,United States,USA,77.3753,TCU,M,Federal Reserve via FRED
2017-11-01,United States,USA,77.6337,TCU,M,Federal Reserve via FRED
2017-12-01,United States,USA,77.8538,TCU,M,Federal Reserve via FRED
2018-01-01,United States,USA,77.9138,TCU,M,Federal Reserve via FRED
2018-02-01,United States,USA,78.1508,TCU,M,Federal Reserve via FRED
2018-03-01,United States,USA,78.5697,TCU,M,Federal Reserve via FRED
2018-04-01,United States,USA,79.4597,TCU,M,Federal Reserve via FRED
2018-05-01,United States,USA,78.7526,TCU,M,Federal Reserve via FRED
2018-06-01,United States,USA,79.356,TCU,M,Federal Reserve via FRED
2018-07-01,United States,USA,79.4588,TCU,M,Federal Reserve via FRED
2018-08-01,United States,USA,79.9322,TCU,M,Federal Reserve via FRED
2018-09-01,United States,USA,79.9314,TCU,M,Federal Reserve via FRED
2018-10-01,United States,USA,79.7802,TCU,M,Federal Reserve via FRED
2018-11-01,United States,USA,79.7722,TCU,M,Federal Reserve via FRED
2018-12-01,United States,USA,79.7142,TCU,M,Federal Reserve via FRED
2019-01-01,United States,USA,79.1024,TCU,M,Federal Reserve via FRED
2019-02-01,United States,USA,78.5877,TCU,M,Federal Reserve via FRED
2019-03-01,United States,USA,78.5337,TCU,M,Federal Reserve via FRED
2019-04-01,United States,USA,77.9898,TCU,M,Federal Reserve via FRED
2019-05-01,United States,USA,77.9962,TCU,M,Federal Reserve via FRED
2019-06-01,United States,USA,77.9493,TCU,M,Federal Reserve via FRED
2019-07-01,United States,USA,77.4935,TCU,M,Federal Reserve via FRED
2019-08-01,United States,USA,77.9497,TCU,M,Federal Reserve via FRED
2019-09-01,United States,USA,77.6205,TCU,M,Federal Reserve via FRED
2019-10-01,United States,USA,76.9099,TCU,M,Federal Reserve via FRED
2019-11-01,United States,USA,77.252,TCU,M,Federal Reserve via FRED
2019-12-01,United States,USA,77.0416,TCU,M,Federal Reserve via FRED
2020-01-01,United States,USA,76.519,TCU,M,Federal Reserve via FRED
2020-02-01,United States,USA,76.7764,TCU,M,Federal Reserve via FRED
2020-03-01,United States,USA,73.7887,TCU,M,Federal Reserve via FRED
2020-04-01,United States,USA,64.0847,TCU,M,Federal Reserve via FRED
2020-05-01,United States,USA,65.1874,TCU,M,Federal Reserve via FRED
2020-06-01,United States,USA,69.5218,TCU,M,Federal Reserve via FRED
2020-07-01,United States,USA,72.2103,TCU,M,Federal Reserve via FRED
2020-08-01,United States,USA,73.0192,TCU,M,Federal Reserve via FRED
2020-09-01,United States,USA,73.1451,TCU,M,Federal Reserve via FRED
2020-10-01,United States,USA,73.8636,TCU,M,Federal Reserve via FRED
2020-11-01,United States,USA,74.2637,TCU,M,Federal Reserve via FRED
2020-12-01,United States,USA,75.3903,TCU,M,Federal Reserve via FRED
2021-01-01,United States,USA,75.9401,TCU,M,Federal Reserve via FRED
2021-02-01,United States,USA,73.5725,TCU,M,Federal Reserve via FRED
