date,country,country_code,cu_pct,series,frequency,source
2010-01-01,Germany,DEU,74.5,BSCURT02DEQ160S,Q,OECD via FRED
2010-04-01,Germany,DEU,79.4,BSCURT02DEQ160S,Q,OECD via FRED
2010-07-01,Germany,DEU,82.0,BSCURT02DEQ160S,Q,OECD via FRED
2010-10-01,Germany,DEU,83.5,BSCURT02DEQ160S,Q,OECD via FRED
2011-01-01,Germany,DEU,84.7,BSCURT02DEQ160S,Q,OECD via FRED
2011-04-01,Germany,DEU,85.8,BSCURT02DEQ160S,Q,OECD via FRED
2011-07-01,Germany,DEU,85.9,BSCURT02DEQ160S,Q,OECD via FRED
2011-10-01,Germany,DEU,85.6,BSCURT02DEQ160S,Q,OECD via FRED
2012-01-01,Germany,DEU,84.8,BSCURT02DEQ160S,Q,OECD via FRED
2012-04-01,Germany,DEU,84.4,BSCURT02DEQ160S,Q,OECD via FRED
2012-07-01,Germany,DEU,83.5,BSCURT02DEQ160S,Q,OECD via FRED
2012-10-01,Germany,DEU,82.5,BSCURT02DEQ160S,Q,OECD via FRED
2013-01-01,Germany,DEU,82.6,BSCURT02DEQ160S,Q,OECD via FRED
2013-04-01,Germany,DEU,82.5,BSCURT02DEQ160S,Q,OECD via FRED
2013-07-01,Germany,DEU,83.1,BSCURT02DEQ160S,Q,OECD via FRED
2013-10-01,Germany,DEU,83.8,BSCURT02DEQ160S,Q,OECD via FRED
2014-01-01,Germany,DEU,84.0,BSCURT02DEQ160S,Q,OECD via FRED
2014-04-01,Germany,DEU,84.4,BSCURT02DEQ160S,Q,OECD via FRED
2014-07-01,Germany,DEU,84.3,BSCURT02DEQ160S,Q,OECD via FRED
2014-10-01,Germany,DEU,84.2,BSCURT02DEQ160S,Q,OECD via FRED
2015-01-01,Germany,DEU,84.0,BSCURT02DEQ160S,Q,OECD via FRED
2015-04-01,Germany,DEU,84.3,BSCURT02DEQ160S,Q,OECD via FRED
2015-07-01,Germany,DEU,84.3,BSCURT02DEQ160S,Q,OECD via FRED
2015-10-01,Germany,DEU,84.1,BSCURT02DEQ160S,Q,OECD via FRED
2016-01-01,Germany,DEU,84.3,BSCURT02DEQ160S,Q,OECD via FRED
2016-04-01,Germany,DEU,84.3,BSCURT02DEQ160S,Q,OECD via FRED
2016-07-01,Germany,DEU,84.6,BSCURT02DEQ160S,Q,OECD via FRED
2016-10-01,Germany,DEU,85.2,BSCURT02DEQ160S,Q,OECD via FRED
2017-01-01,Germany,DEU,85.4,BSCURT02DEQ160S,Q,OECD via FRED
2017-04-01,Germany,DEU,86.3,BSCURT02DEQ160S,Q,OECD via FRED
2017-07-01,Germany,DEU,87.0,BSCURT02DEQ160S,Q,OECD via FRED
2017-10-01,Germany,DEU,87.5,BSCURT02DEQ160S,Q,OECD via FRED
2018-01-01,Germany,DEU,87.9,BSCURT02DEQ160S,Q,OECD via FRED
