year,country_code,country,spi_score
2016,,High income,72.96
2016,,Low income,46.24
2016,,Lower middle income,51.29
2016,,Upper middle income,58.23
2017,,High income,74.3
2017,,Low income,46.69
2017,,Lower middle income,54.42
2017,,Upper middle income,60.61
2018,,High income,77.85
2018,,Low income,48.68
2018,,Lower middle income,56.63
2018,,Upper middle income,62.88
2019,,High income,78.24
2019,,Low income,48.19
2019,,Lower middle income,56.94
2019,,Upper middle income,63.66
2020,,High income,77.76
2020,,Low income,49.76
2020,,Lower middle income,59.18
2020,,Upper middle income,64.77
2021,,High income,82.38
2021,,Low income,55.25
2021,,Lower middle income,63.88
2021,,Upper middle income,69.22
2022,,High income,80.32
2022,,Low income,54.53
2022,,Lower middle income,63.05
2022,,Upper middle income,67.41
2023,,High income,82.0
2023,,Low income,55.14
2023,,Lower middle income,64.18
2023,,Upper middle income,68.43
2024,,High income,80.94
2024,,Low income,56.01
2024,,Lower middle income,64.1
2024,,Upper middle income,69.27
2016,AFG,Afghanistan,39.72625
2017,AFG,Afghanistan,45.08125
2018,AFG,Afghanistan,52.3483333333333
2019,AFG,Afghanistan,51.9295833333333
2020,AFG,Afghanistan,55.56
2021,AFG,Afghanistan,59.1775
2022,AFG,Afghanistan,58.9883333333333
2023,AFG,Afghanistan,56.7495833333333
2024,AFG,Afghanistan,54.38625
2016,AGO,Angola,47.3954166666667
2017,AGO,Angola,48.3595833333333
2018,AGO,Angola,54.5720833333333
2019,AGO,Angola,57.9525
2020,AGO,Angola,59.17
2021,AGO,Angola,56.45625
2022,AGO,Angola,54.9670833333333
2023,AGO,Angola,57.5958333333333
2024,AGO,Angola,58.1520833333333
2016,ALB,Albania,64.905
2017,ALB,Albania,68.6583333333333
2018,ALB,Albania,78.5966666666667
2019,ALB,Albania,76.0429166666667
2020,ALB,Albania,81.3175
2021,ALB,Albania,85.7804166666667
2022,ALB,Albania,84.42625
2023,ALB,Albania,85.0770833333333
2024,ALB,Albania,83.65375
2022,AND,Andorra,40.3679166666667
2023,AND,Andorra,44.7966666666667
2024,AND,Andorra,49.8675
2016,ARE,United Arab Emirates,46.7033333333333
2017,ARE,United Arab Emirates,54.34
2018,ARE,United Arab Emirates,59.26
2019,ARE,United Arab Emirates,57.6725
2020,ARE,United Arab Emirates,66.1741666666667
2021,ARE,United Arab Emirates,75.9666666666667
2022,ARE,United Arab Emirates,75.9225
2023,ARE,United Arab Emirates,77.305
2024,ARE,United Arab Emirates,79.1495833333333
2016,ARG,Argentina,65.4683333333333
2017,ARG,Argentina,69.0958333333333
2018,ARG,Argentina,68.9429166666667
2019,ARG,Argentina,69.4391666666667
2020,ARG,Argentina,72.1175
2021,ARG,Argentina,77.7279166666667
2022,ARG,Argentina,76.4691666666667
2023,ARG,Argentina,79.1854166666667
2024,ARG,Argentina,80.3908333333333
2016,ARM,Armenia,79.7416666666667
2017,ARM,Armenia,82.04625
2018,ARM,Armenia,83.0604166666667
2019,ARM,Armenia,82.2266666666667
2020,ARM,Armenia,82.9383333333333
2021,ARM,Armenia,85.8125
2022,ARM,Armenia,85.0583333333333
2023,ARM,Armenia,83.3645833333333
2024,ARM,Armenia,82.1804166666667
2020,ATG,Antigua and Barbuda,44.4720833333333
2021,ATG,Antigua and Barbuda,50.2375
2022,ATG,Antigua and Barbuda,51.6395833333333
2023,ATG,Antigua and Barbuda,60.3175
2024,ATG,Antigua and Barbuda,63.2108333333333
2016,AUS,Australia,83.4166666666667
2017,AUS,Australia,85.0633333333333
2018,AUS,Australia,84.3641666666667
2019,AUS,Australia,84.2416666666667
2020,AUS,Australia,83.7279166666667
2021,AUS,Australia,87.0045833333333
2022,AUS,Australia,87.82625
2023,AUS,Australia,88.86625
2024,AUS,Australia,88.9708333333333
2016,AUT,Austria,86.3220833333333
2017,AUT,Austria,86.2295833333333
2018,AUT,Austria,87.8383333333334
2019,AUT,Austria,86.7933333333334
2020,AUT,Austria,88.4525
2021,AUT,Austria,90.9641666666667
2022,AUT,Austria,90.1029166666667
2023,AUT,Austria,92.6466666666667
2024,AUT,Austria,89.3479166666667
2016,AZE,Azerbaijan,54.12875
2017,AZE,Azerbaijan,60.705
2018,AZE,Azerbaijan,68.48625
2019,AZE,Azerbaijan,68.47125
2020,AZE,Azerbaijan,70.8670833333333
2021,AZE,Azerbaijan,73.00375
2022,AZE,Azerbaijan,70.7791666666667
2023,AZE,Azerbaijan,66.78625
2024,AZE,Azerbaijan,69.48875
2016,BDI,Burundi,50.465
2017,BDI,Burundi,54.4920833333333
