year,country,country_code,inflation_cpi_pct,gdp_per_capita_usd,unemployment_pct,trade_pct_gdp,m2_pct_gdp
2010,Canada,CAN,1.77687154092627,47560.6666009406,8.178,60.2081215044483,
2011,Canada,CAN,2.91213508872351,52223.8588398531,7.637,62.4987387708328,
2012,Canada,CAN,1.51567823124516,52670.3447335415,7.392,62.5955489395005,
2013,Canada,CAN,0.938291897815316,52638.1187235237,7.143,62.2310749013405,
2014,Canada,CAN,1.90663590717861,50960.8431174661,7.023,64.3786621564923,
2015,Canada,CAN,1.12524136094277,43594.1941045394,6.945,66.1649020669781,
2016,Canada,CAN,1.42875954701085,42314.0615817218,7.038,65.3636845215556,
2017,Canada,CAN,1.59688412852976,45129.628116623,6.426,65.1010608504649,
2018,Canada,CAN,2.26822567248103,46539.1761570405,5.837,66.5998858508762,
2019,Canada,CAN,1.94926902411592,46352.8693445211,5.69,66.1714852804959,
2020,Canada,CAN,0.716999632307827,43537.839298904,9.657,61.1567709632763,
2021,Canada,CAN,3.39519318527527,52886.6616372703,7.527,62.2468367159421,
2022,Canada,CAN,6.80280115341612,56256.8007264015,5.279,67.3176215563989,
2023,Canada,CAN,3.87900159788425,54220.3285039875,5.415,66.6323313370668,
2024,Canada,CAN,2.38158383281173,54340.3477224733,6.351,65.1499212653783,
2010,Germany,DEU,1.1038103778926,42396.9665976293,7.043,73.8852351200263,
2011,Germany,DEU,2.07517283735874,47630.9761883572,5.967,78.433002901442,
2012,Germany,DEU,2.00848884782956,44718.0159214069,5.372,79.3316495670315,
2013,Germany,DEU,1.50472330251876,47206.8353514242,5.316,77.5860288576931,
2014,Germany,DEU,0.906794000434245,48959.5991203133,4.979,76.8483516336234,
2015,Germany,DEU,0.514426137125456,41929.7549110722,4.612,77.7565815686922,
2016,Germany,DEU,0.491747008445174,42948.9381932694,4.104,76.0059902166055,
2017,Germany,DEU,1.50949485109628,45553.9341495339,3.781,77.4548394742448,
2018,Germany,DEU,1.73216879766941,48916.1686612154,3.384,79.1252260463654,
2019,Germany,DEU,1.44565976888253,47656.199739747,3.163,79.0732427175683,
2020,Germany,DEU,0.144877925813981,47394.8734504469,3.881,72.9335327120137,
2021,Germany,DEU,3.06666666666673,52349.2459994422,3.594,79.9195348609851,
2022,Germany,DEU,6.87257438551096,50506.5179638543,3.137,88.7857542130501,
2023,Germany,DEU,5.94643667725823,54776.7668235491,3.071,81.9625483787634,
2024,Germany,DEU,2.2564981433876,56103.7323182554,3.4,79.0907305894936,
